"","GEOID","SFHA","Flood.Factor"
"67","01097000702",0.086151369,0.190016103
"68","01097000800",0.088425236,0.278191754
"69","01097000901",0.031680441,0.17630854
"70","01097000902",0,0.208972845
"71","01097000903",0,0.088455772
"72","01097001001",0.004070556,0.641791045
"73","01097001002",0,0.684357542
"74","01097001100",0,1
"75","01097001200",0.481286242,0.767527675
"76","01097001302",0.070498084,0.445210728
"77","01097001400",0,0.04842615
"78","01097001501",0,0.103864734
"79","01097001502",0,0.231111111
"80","01097001800",0.697111631,0.948477752
"81","01097001901",0.724649629,0.895300907
"82","01097001902",0.205533597,0.567852437
"83","01097002000",0.482582838,0.822429907
"84","01097002100",0.009987516,0.139825218
"85","01097002200",0.127510917,0.376419214
"86","01097002301",0.15285881,0.413068845
"87","01097002302",0.019404916,0.104786546
"88","01097002400",0.03942029,0.227246377
"89","01097002501",0.029569892,0.277956989
"90","01097002502",0.214752568,0.329598506
"91","01097002600",0.125740619,0.277156024
"92","01097002700",0,0.189732143
"93","01097002800",0.050123762,0.147277228
"94","01097002900",0.065128901,0.214382632
"95","01097003000",0.016117216,0.131135531
"96","01097003100",0.001948368,0.087189479
"97","01097003202",0,0.010762332
"98","01097003203",0.006641366,0.09487666
"99","01097003204",0,0.483483483
"100","01097003205",0.006666667,0.061666667
"101","01097003301",0.025052192,0.227557411
"102","01097003302",0.034717495,0.111640572
"103","01097003402",0.039296188,0.06627566
"104","01097003404",0.013487476,0.034682081
"105","01097003405",0,0.018018018
"106","01097003406",0.011737089,0.043818466
"107","01097003407",0.00148721,0.044913742
"108","01097003408",0.00508762,0.081401922
"109","01097003501",0.006242906,0.069807037
"110","01097003502",0.00177305,0.085992908
"111","01097003602",0.003984064,0.097609562
"112","01097003605",0,0.222222222
"113","01097003606",0.016037736,0.155660377
"114","01097003607",0.016393443,0.046199702
"115","01097003608",0.002173913,0.045652174
"116","01097003703",0.006973501,0.050209205
"117","01097003704",0,0.032802701
"118","01097003705",0.009765625,0.079101563
"119","01097003706",0,0.03685742
"120","01097003707",0.004395604,0.093040293
"121","01097003708",0.016353725,0.06359782
"122","01097003709",0.010469012,0.052345059
"123","01097003710",0.01511335,0.083123426
"124","01097003800",0.211942257,0.314304462
"125","01097003901",0.043478261,0.093350384
"126","01097003902",0.00250941,0.223337516
"127","01097004000",0.216994382,0.169241573
"128","01097004100",0.073464912,0.162280702
"129","01097004800",0.051008304,0.091340451
"130","01097004900",0.021094641,0.092930445
"131","01097005000",0.089009991,0.178928247
"132","01097005100",0.028150134,0.111260054
"133","01097005200",0.021887825,0.128590971
"134","01097005300",0.257110353,0.424345848
"135","01097005400",0.148856991,0.198298777
"136","01097005500",0.380917698,0.470502549
"137","01097005600",0.094369973,0.226273458
"138","01097005700",0.089041096,0.169779992
"139","01097005800",0.025069638,0.113193213
"140","01097005900",0.052947313,0.112415232
"141","01097006000",0.011612903,0.073290323
"142","01097006102",0.006293266,0.065449969
